SK_ID_CURR,TARGET
100001,0.03748389374264691
100005,0.15322090828909163
100013,0.02382519353107234
100028,0.04114058338321407
100038,0.15074077458526017
100042,0.04223803846884631
100057,0.00668241660830083
100065,0.026183052961004646
100066,0.010254754778082997
100067,0.09878463214196018
100074,0.05403986880474482
100090,0.034793487286164375
100091,0.2079881534248017
100092,0.05517058638107355
100106,0.0402156776478209
100107,0.13561707227199965
100109,0.03388286700424596
100117,0.02173107547076897
100128,0.07467950342500747
100141,0.03122221647746936
100150,0.0343611826848619
100168,0.01061532652718851
100169,0.033745447565169034
100170,0.15170172412583277
100171,0.07089051269188258
100172,0.12554904463413286
100184,0.11547517013782073
100187,0.07819130653210266
100212,0.02594437977091307
100222,0.05737376131900585
100223,0.032004678064269626
100232,0.010089899369988132
100241,0.14698360254298387
100245,0.02674516249247448
100253,0.02108166226728582
100256,0.036334044034793796
100271,0.004875880362421993
100278,0.46906805373303495
100280,0.008160978453768482
100306,0.20781263348264972
100311,0.04935487930624635
100312,0.013088118379955192
100330,0.10123367515948183
100331,0.04028619918545199
100352,0.13982944400163205
100358,0.116736548161651
100367,0.019551874013540065
100382,0.122626852920324
100384,0.17649753169983035
100385,0.04967237308111496
100386,0.037917702520594995
100399,0.035313493444677685
100404,0.03186004104884522
100416,0.014045571077514878
100422,0.019323905248583708
100426,0.03974963017587555
100438,0.030687764723719226
100444,0.11702743042801753
100445,0.09506105157425668
100446,0.07229627574685721
100447,0.030356801005308305
100450,0.17203395947999015
100466,0.0107001236429244
100483,0.017700373074496293
100484,0.024627896664931793
100494,0.04237494571886481
100510,0.11829781687840482
100512,0.015685866377711796
100517,0.03580129616492881
100548,0.019160982939802035
100551,0.05471829266325994
100552,0.062462723962799595
100553,0.012161927968686932
100561,0.12041873902436469
100568,0.4281853739507741
100569,0.016848803139995892
100591,0.11276291735514511
100592,0.021423582584592163
100602,0.03869342100547305
100607,0.07174856899043502
100613,0.05977297720070718
100617,0.09547505732950488
100618,0.10000488730479869
100622,0.03407170340819397
100625,0.07156438767303881
100677,0.10444230519473452
100699,0.027564379792753346
100702,0.35861633797062475
100711,0.026831661615860383
100729,0.1740864723841555
100740,0.20958561521962987
100744,0.12603545421283766
100745,0.035680523344062916
100747,0.09315355850404046
100751,0.3905863267661395
100752,0.017243957643994084
100753,0.23573718247038652
100754,0.21672139357412915
100760,0.03622186724088659
100762,0.09177080572218094
100763,0.021322259948416133
100765,0.01589357690896698
100770,0.07903626477689245
100772,0.0227994433671019
100777,0.022775771262242166
100791,0.013574448978338233
